Tid | Avstand | X | Y | Z | Error | Power | uP | uI | uD
169 | 297 | 16 | 2 | 1020 | -3 | 65535 | 0 | 0 | 0
170 | 296 | 16 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
171 | 297 | 16 | 2 | 1021 | -3 | 65535 | 0 | 0 | 0
172 | 299 | 16 | 2 | 1023 | -1 | 65535 | 0 | 0 | 0
173 | 299 | 16 | 2 | 1023 | -1 | 65535 | 0 | 0 | 0
174 | 300 | 16 | 2 | 1023 | 0 | 65535 | 0 | 0 | 0
175 | 299 | 16 | 2 | 1023 | -1 | 65535 | 0 | 0 | 0
176 | 296 | 16 | 2 | 1023 | -4 | 65535 | 0 | 0 | 0
177 | 297 | 15 | 2 | 1022 | -3 | 65535 | 0 | 0 | 0
178 | 296 | 14 | 2 | 1022 | -4 | 65535 | 0 | 0 | 0
179 | 297 | 14 | 2 | 1021 | -3 | 65535 | 0 | 0 | 0
180 | 296 | 14 | 2 | 1021 | -4 | 65535 | 0 | 0 | 0
181 | 296 | 14 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
182 | 296 | 14 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
183 | 297 | 14 | 4 | 1020 | -3 | 65535 | 0 | 0 | 0
184 | 296 | 14 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
185 | 297 | 15 | 4 | 1020 | -3 | 65535 | 0 | 0 | 0
186 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
187 | 296 | 14 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
188 | 296 | 14 | 4 | 1018 | -4 | 65535 | 0 | 0 | 0
189 | 296 | 14 | 4 | 1018 | -4 | 65535 | 0 | 0 | 0
190 | 296 | 14 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
191 | 297 | 15 | 4 | 1018 | -3 | 65535 | 0 | 0 | 0
192 | 299 | 15 | 4 | 1019 | -1 | 65535 | 0 | 0 | 0
193 | 299 | 15 | 4 | 1019 | -1 | 65535 | 0 | 0 | 0
194 | 300 | 15 | 4 | 1019 | 0 | 65535 | 0 | 0 | 0
195 | 299 | 14 | 4 | 1018 | -1 | 65535 | 0 | 0 | 0
196 | 295 | 14 | 5 | 1018 | -5 | 65535 | 0 | 0 | 0
197 | 297 | 14 | 5 | 1018 | -3 | 65535 | 0 | 0 | 0
198 | 296 | 15 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
199 | 298 | 15 | 5 | 1019 | -2 | 65535 | 0 | 0 | 0
200 | 296 | 15 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
201 | 297 | 15 | 5 | 1019 | -3 | 65535 | 0 | 0 | 0
202 | 297 | 15 | 5 | 1020 | -3 | 65535 | 0 | 0 | 0
203 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
204 | 296 | 15 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
205 | 297 | 15 | 3 | 1021 | -3 | 65535 | 0 | 0 | 0
206 | 296 | 15 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
207 | 297 | 15 | 3 | 1019 | -3 | 65535 | 0 | 0 | 0
208 | 300 | 15 | 2 | 1019 | 0 | 65535 | 0 | 0 | 0
209 | 300 | 14 | 2 | 1019 | 0 | 65535 | 0 | 0 | 0
210 | 301 | 13 | 2 | 1019 | 1 | 65535 | 0 | 0 | 0
211 | 299 | 13 | 2 | 1019 | -1 | 65535 | 0 | 0 | 0
212 | 295 | 14 | 2 | 1018 | -5 | 65535 | 0 | 0 | 0
213 | 297 | 15 | 2 | 1018 | -3 | 65535 | 0 | 0 | 0
214 | 296 | 15 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
215 | 296 | 14 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
216 | 296 | 14 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
217 | 296 | 14 | 3 | 1017 | -4 | 65535 | 0 | 0 | 0
218 | 296 | 14 | 3 | 1017 | -4 | 65535 | 0 | 0 | 0
219 | 296 | 14 | 3 | 1017 | -4 | 65535 | 0 | 0 | 0
220 | 296 | 14 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
221 | 296 | 15 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
222 | 297 | 16 | 2 | 1017 | -3 | 65535 | 0 | 0 | 0
223 | 296 | 16 | 3 | 1018 | -4 | 65535 | 0 | 0 | 0
224 | 295 | 16 | 3 | 1019 | -5 | 65535 | 0 | 0 | 0
225 | 297 | 17 | 4 | 1020 | -3 | 65535 | 0 | 0 | 0
226 | 296 | 18 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
227 | 296 | 18 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
228 | 296 | 18 | 5 | 1020 | -4 | 65535 | 0 | 0 | 0
229 | 297 | 18 | 5 | 1020 | -3 | 65535 | 0 | 0 | 0
230 | 296 | 17 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
231 | 296 | 16 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
232 | 296 | 16 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
233 | 296 | 16 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
234 | 296 | 16 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
235 | 296 | 16 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
236 | 295 | 17 | 2 | 1019 | -5 | 65535 | 0 | 0 | 0
237 | 296 | 18 | 2 | 1017 | -4 | 65535 | 0 | 0 | 0
238 | 296 | 18 | 3 | 1017 | -4 | 65535 | 0 | 0 | 0
239 | 295 | 18 | 3 | 1017 | -5 | 65535 | 0 | 0 | 0
240 | 295 | 17 | 3 | 1017 | -5 | 65535 | 0 | 0 | 0
241 | 296 | 17 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
242 | 296 | 17 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
243 | 297 | 17 | 5 | 1017 | -3 | 65535 | 0 | 0 | 0
244 | 299 | 17 | 5 | 1017 | -1 | 65535 | 0 | 0 | 0
245 | 299 | 17 | 5 | 1017 | -1 | 65535 | 0 | 0 | 0
246 | 299 | 17 | 5 | 1017 | -1 | 65535 | 0 | 0 | 0
247 | 297 | 16 | 5 | 1017 | -3 | 65535 | 0 | 0 | 0
248 | 295 | 16 | 4 | 1017 | -5 | 65535 | 0 | 0 | 0
249 | 296 | 15 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
250 | 296 | 14 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
251 | 295 | 15 | 5 | 1018 | -5 | 65535 | 0 | 0 | 0
252 | 296 | 15 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
253 | 296 | 15 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
254 | 296 | 15 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
