Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
735,284,98,-33,936,16,53510,32000,21510,0
736,284,79,-15,872,16,53830,32000,21830,0
737,284,33,-34,862,16,54150,32000,22150,0
738,290,10,-41,924,10,42410,20000,22410,0
739,292,-11,-62,969,8,38590,16000,22590,0
740,292,3,-74,1020,8,38750,16000,22750,0
741,292,-4,-71,973,8,38910,16000,22910,0
742,301,-27,-75,957,-1,0,0,0,0
743,302,-16,-114,1054,-2,0,0,0,0
744,302,-7,-275,1133,-2,0,0,0,0
745,302,2,-389,1022,-2,0,0,0,0
746,309,3,-384,1026,-9,18110,47536,65426,0
747,308,-1,-453,940,-8,16280,49536,65256,0
748,308,14,-424,757,-8,16440,49536,65096,0
749,308,-1,-375,652,-8,16600,49536,64936,0
750,311,-12,-294,652,-11,22790,43536,64746,0
751,311,-29,-264,704,-11,23010,43536,64526,0
752,312,-30,-252,777,-12,25240,41536,64296,0
753,311,-22,-207,828,-11,23470,43536,64066,0
754,311,-14,-177,868,-11,23690,43536,63846,0
755,311,5,-127,904,-11,23910,43536,63626,0
756,311,0,-88,934,-11,24130,43536,63406,0
757,311,-9,-61,950,-11,24350,43536,63186,0
758,307,-20,-55,959,-7,16530,51536,63006,0
759,305,-19,-34,974,-5,12650,55536,62886,0
760,305,-25,8,981,-5,12750,55536,62786,0
761,305,-13,42,996,-5,12850,55536,62686,0
762,303,-5,42,1007,-3,0,0,0,0
763,302,-3,41,1015,-2,0,0,0,0
764,302,-17,216,849,-2,0,0,0,0
765,302,15,276,904,-2,0,0,0,0
766,300,11,237,964,0,0,0,0,0
767,298,10,196,979,2,0,0,0,0
768,299,11,161,967,1,0,0,0,0
769,299,9,131,967,1,0,0,0,0
770,299,9,108,975,1,0,0,0,0
771,298,11,82,985,2,0,0,0,0
772,299,8,64,990,1,0,0,0,0
773,299,10,51,997,1,0,0,0,0
774,299,10,40,1003,1,0,0,0,0
775,299,10,32,1006,1,0,0,0,0
776,299,10,26,1008,1,0,0,0,0
777,299,11,21,1010,1,0,0,0,0
778,299,12,19,1013,1,0,0,0,0
779,298,12,16,1015,2,0,0,0,0
780,299,12,13,1015,1,0,0,0,0
781,299,12,11,1015,1,0,0,0,0
782,299,11,10,1015,1,0,0,0,0
783,298,10,10,1015,2,0,0,0,0
784,299,10,9,1014,1,0,0,0,0
785,299,10,9,1014,1,0,0,0,0
786,299,10,9,1014,1,0,0,0,0
787,299,11,8,1015,1,0,0,0,0
788,299,12,7,1014,1,0,0,0,0
789,299,13,6,1013,1,0,0,0,0
790,299,13,5,1013,1,0,0,0,0
791,298,13,5,1014,2,0,0,0,0
792,299,13,5,1014,1,0,0,0,0
793,299,14,5,1013,1,0,0,0,0
794,299,14,4,1013,1,0,0,0,0
795,297,14,4,1013,3,0,0,0,0
796,298,13,4,1014,2,0,0,0,0
797,299,13,5,1015,1,0,0,0,0
798,298,13,5,1016,2,0,0,0,0
799,298,13,5,1017,2,0,0,0,0
800,298,13,5,1018,2,0,0,0,0
801,299,13,5,1017,1,0,0,0,0
802,299,13,5,1016,1,0,0,0,0
803,298,11,5,1016,2,0,0,0,0
804,298,11,6,1016,2,0,0,0,0
805,298,10,6,1016,2,0,0,0,0
806,299,10,6,1015,1,0,0,0,0
807,298,11,6,1014,2,0,0,0,0
808,298,11,7,1014,2,0,0,0,0
809,299,12,7,1014,1,0,0,0,0
810,298,12,7,1013,2,0,0,0,0
811,298,11,7,1013,2,0,0,0,0
812,298,10,7,1013,2,0,0,0,0
813,299,10,7,1013,1,0,0,0,0
814,298,10,6,1013,2,0,0,0,0
815,298,10,5,1013,2,0,0,0,0
816,298,11,5,1014,2,0,0,0,0
817,299,11,5,1015,1,0,0,0,0
818,298,11,5,1015,2,0,0,0,0
819,298,11,5,1015,2,0,0,0,0
820,298,11,5,1016,2,0,0,0,0
821,299,11,4,1017,1,0,0,0,0
822,297,11,4,1017,3,0,0,0,0
823,298,11,4,1018,2,0,0,0,0
824,298,10,4,1018,2,0,0,0,0
825,299,9,4,1018,1,0,0,0,0
826,298,9,4,1018,2,0,0,0,0
827,298,10,5,1018,2,0,0,0,0
828,298,11,5,1018,2,0,0,0,0
829,299,11,5,1018,1,0,0,0,0
830,298,12,5,1017,2,0,0,0,0
831,298,12,5,1017,2,0,0,0,0
832,298,11,5,1017,2,0,0,0,0
833,299,11,6,1018,1,0,0,0,0
834,298,11,6,1018,2,0,0,0,0
835,298,12,6,1018,2,0,0,0,0
836,298,12,6,1018,2,0,0,0,0
837,299,11,6,1017,1,0,0,0,0
838,298,11,7,1017,2,0,0,0,0
839,298,11,7,1017,2,0,0,0,0
840,298,11,7,1019,2,0,0,0,0
841,299,11,7,1018,1,0,0,0,0
842,298,11,7,1018,2,0,0,0,0
843,298,11,6,1018,2,0,0,0,0
844,298,11,6,1018,2,0,0,0,0
845,301,11,5,1020,-1,0,0,0,0
846,302,10,5,1020,-2,0,0,0,0
847,301,10,5,1020,-1,0,0,0,0
848,302,10,4,1020,-2,0,0,0,0
849,310,10,5,1019,-10,20120,45536,65416,0
850,316,13,-83,1027,-16,32380,33536,65156,0
851,314,11,-197,1108,-14,28680,37536,64856,0
852,316,11,-245,1150,-16,32980,33536,64556,0
853,326,11,-191,1163,-26,53400,13536,64136,0
854,338,33,-186,1165,-38,65535,55072,63496,0
855,334,42,-231,1120,-34,65535,63072,62776,0
856,336,19,-270,1093,-36,65535,59072,62076,0
857,351,30,-223,1044,-51,65535,29072,61206,0
858,360,14,-249,1068,-60,65535,11072,60096,0
859,358,3,-223,1098,-58,65535,15072,58916,0
860,358,-6,-126,1043,-58,65535,15072,57756,0
861,362,-30,-120,900,-62,65535,7072,56556,0
862,362,-47,-90,658,-62,65535,7072,55316,0
863,363,-67,-108,637,-63,65535,5072,54066,0
864,362,-46,-46,716,-62,65535,7072,52816,0
865,358,-34,-36,647,-58,65535,15072,51616,0
866,355,-36,-16,586,-55,65535,21072,50486,0
867,355,-75,-67,692,-55,65535,21072,49386,0
868,354,-57,-21,711,-54,65535,23072,48296,0
869,347,-54,-42,796,-47,65535,37072,47286,0
870,342,-38,-16,790,-42,65535,47072,46396,0
871,344,4,-67,876,-44,65535,43072,45536,0
872,344,-15,-54,826,-44,65535,43072,44656,0
873,338,-7,-48,845,-38,65535,55072,43836,0
874,334,-2,-24,936,-34,65535,63072,43116,0
875,336,14,-36,958,-36,65535,59072,42416,0
876,335,-43,5,911,-35,65535,61072,41706,0
877,327,-50,-8,974,-27,65535,11536,41086,0
878,323,-41,9,1029,-23,65535,19536,40586,0
879,324,61,-24,1163,-24,65535,17536,40116,0
880,324,59,29,1174,-24,65535,17536,39636,0
881,320,82,40,1175,-20,65535,25536,39196,0
882,317,133,70,1264,-17,60710,31536,38826,0
883,318,93,78,1215,-18,63060,29536,38476,0
884,318,51,102,1213,-18,63420,29536,38116,0
885,311,48,141,1220,-11,49710,43536,37826,0
886,308,7,132,1078,-8,43900,49536,37636,0
887,308,-41,177,1020,-8,44060,49536,37476,0
888,308,-54,210,990,-8,44220,49536,37316,0
889,300,-107,138,1011,0,0,0,0,0
890,298,-95,258,1038,2,0,0,0,0
891,298,-82,454,1005,2,0,0,0,0
892,298,-65,321,1116,2,0,0,0,0
893,290,-96,183,1187,10,20120,20000,120,0
894,288,-84,264,1206,12,24340,24000,340,0
895,289,-11,365,1188,11,22570,22000,570,0
896,289,43,369,1158,11,22790,22000,790,0
897,287,72,312,1122,13,27030,26000,1030,0
898,286,66,271,1100,14,29300,28000,1300,0
899,286,59,259,1068,14,29580,28000,1580,0
900,287,44,213,1063,13,27850,26000,1850,0
901,289,40,174,1017,11,24090,22000,2090,0
902,289,39,140,973,11,24310,22000,2310,0
903,289,43,90,958,11,24530,22000,2530,0
904,289,37,58,902,11,24750,22000,2750,0
905,292,40,39,916,8,18940,16000,2940,0
906,291,43,18,929,9,21110,18000,3110,0
907,292,35,0,959,8,19280,16000,3280,0
908,292,29,15,977,8,19440,16000,3440,0
909,296,11,13,977,4,0,0,0,0
910,295,5,-64,970,5,10090,10000,90,0
911,296,23,-37,990,4,0,0,0,0
912,296,13,-35,1056,4,0,0,0,0
